Category,Paper_ID,Title,Authors,Year,Venue,HDL,FPGA,Role,Read,Write,ACK,NACK,Repeated_START,Clock_Stretching,Arbitration,Multi_Master,Bus_Clear,Fault_Detection,Recovery,Verification,LUT,FF,Power,Fmax,Hardware_Prototype,External_Device,Relevance
A,A1,"Implementation of I2C Master Bus Controller on FPGA","Bollam Eswari; N. Ponmagal; K. Preethi; S. G. Sreejeesh",2013,"International Conference on Communication and Signal Processing","Verilog","Xilinx Spartan-3AN","Master",Yes,Yes,Yes,Yes,Yes,NR,NR,NR,NR,NR,NR,"ModelSim + ChipScope + hardware",325,83,NR,NR,Yes,"MAXIM DS1307 RTC","Conventional FPGA I2C master baseline"
A,A2,"Functional Verification Environment for I2C Master Controller using System Verilog","M. Sukhanya; K. Gavaskar",2017,"2017 4th International Conference on Signal Processing, Communications and Networking","Verilog + SystemVerilog",NR,"Master",Yes,Yes,Yes,NR,NR,NR,NR,NR,NR,NR,NR,"Questa + layered SystemVerilog verification",NR,NR,NR,NR,No,NR,"Verification methodology and coverage baseline"
A,A3,"Implementation I2C Controller by Using FPGA and Applied for 12 bits ADC","Thanat Sooknuan; Itsariya Aksonkid; Maitree Thamma; Witchupong Wiboonjaroen",2018,"18th International Symposium on Communications and Information Technologies","VHDL","Xilinx Spartan-6 XC6SLX9-TQG144","Master",Yes,Yes,Yes,Yes,Yes,NR,NR,NR,NR,NR,NR,"Xilinx ISIM + hardware testing",111,60,NR,NR,Yes,"MCP3221 12-bit ADC","Conventional FPGA I2C master with hardware ADC interface"
A,A4,"Prototyping of Dual Master I2C Bus Controller","Anagha A; M. Mathurakani",2016,"International Conference on Communication and Signal Processing","VHDL","Xilinx Spartan-3A","Dual Master",Yes,Yes,Yes,NR,NR,NR,Yes,Yes,NR,"Arbitration loss","Back-off to wait state","ModelSim + hardware",104,79,NR,NR,Yes,"DS1307 RTC","Multi-master arbitration baseline"
B,B1,"How Military and Aerospace Systems Can Benefit from System Test Access Management (STAM) Using IEEE-P2654","Bradford G. Van Treuren; Ian McIntosh; Louis Y. Ungar; Heiko Ehrenberg",2019,"IEEE AUTOTESTCON",NR,NR,"System test access / diagnostics",NR,NR,NR,NR,NR,NR,NR,NR,NR,"BIT/BIST/boundary scan/STAM instrumentation; system-level fault detection and isolation","System/software intervention and parallel-path routing examples; I2C-specific recovery NR","ATE + BIT/BIST + boundary scan + deliberate ASIC/FPGA fault-injection methodology",NR,NR,NR,NR,NR,NR,NR,"General diagnostic and fault-injection methodology; I2C used as test-access interface but no I2C protocol-level fault-recovery architecture reported"
B,B2,"Improvement of I2C Bus and RS-232 Serial Port under Complex Electromagnetic Environment","CHAI Yan-jie; SUN Ji-yin; GAO Jing; TAO Ling-jiao; JI Jing; BAO Fei-hu",2008,"2008 International Conference on Computer Science and Software Engineering",NR,NR,"MCU-based I2C EEPROM / RS-232 data handling",NR,Yes,NR,NR,NR,NR,NR,NR,NR,"Software buffer occupancy monitoring; RS-232 receive/send counters and timer","I2C double buffering + EEPROM page-write scheduling; not protocol-level bus recovery","Experimental P89LPC931/CAT24WC16J system",NR,NR,NR,NR,NR,Yes,"CAT24WC16J EEPROM","I2C communication reliability and speed-matching baseline; no I2C protocol-level fault-recovery mechanism reported"
B,B3,"Radiation Tolerant Mixed Signal Microcontroller for Martian Surface Applications","Martin E. Fraeman; Richard C. Meitzler; Mark N. Martin; Wesley P. Millard; Yanyi L. Wong; Joanna D. Mellert; Jessica N. Bowles-Martinez; Kim Strohbehn; David R. Roth",2006,"IEEE Aerospace Conference","VHDL","Xilinx Virtex used for real-time simulation/software-diagnostics development; final target ASIC","Mixed-signal MCU with I2C master/slave network interface",NR,NR,NR,NR,NR,NR,NR,Yes,NR,"Memory EDAC + error logging + fixable/unfixable interrupts + watchdog","Single-bit correction + software corrective action + watchdog CPU reset; I2C-specific recovery NR","Simulation/development FPGA + dedicated memory/error-injection circuitry + fabricated functional-block test chips + radiation/environmental testing",NR,NR,NR,NR,NR,"Partial: functional-block test chips; complete RPU still in fabrication",NR,"General radiation/memory fault tolerance and deliberate error injection; no I2C protocol-level recovery reported"
D,D1,"FPGA Implementation of I2C & SPI Protocols: a Comparative Study","A.K. Oudjida; M.L. Berrandjia; R. Tiar; A. Liacha; K. Tahraoui",2009,"IEEE conference publication; exact venue NR","Verilog 2001","Xilinx Spartan-2/3; Virtex-2/4/5","I2C Slave / SPI Slave",Yes,Yes,Yes,NR,Yes,Yes,NR,NR,NR,"Digital spike filtering; internal status information; generic timer-assisted I2C transfer-error handling","Transfer-error recovery using internal status flags and a timer; exact fault, timeout threshold, and recovery sequence NR","RTL + gate-level timing simulation using ModelSim SE 6.3f; Xilinx ISE 10.1 mapping; MicroBlaze/V2MB1000 hardware integration",NR,NR,NR,NR,Yes,"MicroBlaze SoC / V2MB1000 demonstration board","FPGA implementation and PPA evidence; generic timer-assisted I2C error recovery reported, but prolonged-SCL timeout and stuck-bus recovery NR"
D,D2,"Research of Reusability Based on UVM Verification","Wei Ni; Jichun Zhang",2015,"IEEE publication; exact venue NR","SystemVerilog / UVM",NR,"Reusable I2C verification platform",Yes,Yes,NR,NR,NR,NR,NR,NR,NR,"I2C Checker + Monitor + Scoreboard + Coverage Model","NR","Reusable UVM platform with master/slave agents, virtual sequencer, basic/random/error test classes; exact i2c_uvm_error_test stimulus NR",NR,NR,NR,NR,NR,NR,"I2C UVM verification baseline; error-test class exists but protocol-level fault stimulus and recovery verification are NR"
D,D3,"Hybrid Verification of Protocol Bridges","Praveen Tiwari; Raj S. Mitra",2007,"IEEE Design & Test of Computers","OVL + PSL properties; implementation HDL NR",NR,"ARM7-I2C and OCP-I2C protocol bridges",Yes,Yes,NR,NR,NR,NR,Yes,NR,NR,"Formal protocol, data-integrity, FIFO, and arbitration checking; counterexample-driven corner-case exploration","Arbitration recovery formally verified after simulation-assisted state setup","Hybrid directed simulation + formal verification; OVL/PSL; arbitration and deep STOP/register corner-case verification",NR,NR,NR,NR,NR,NR,"Strong prior evidence for I2C corner-case and arbitration-recovery verification; stuck-line fault injection, recovery-latency measurement, and bus-clear verification NR"
