coverage_id,result,source,evidence_marker,git_commit
F1_LIMIT_MINUS_1,1,regression_results.csv,CSV:F1_02_LIMIT_MINUS_1,3f76326c444a33754ce19d71b39443cffac77346
F1_EXACT_LIMIT,1,regression_results.csv,CSV:F1_03_LIMIT,3f76326c444a33754ce19d71b39443cffac77346
F1_LIMIT_PLUS_1,1,regression_results.csv,CSV:F1_04_LIMIT_PLUS_1,3f76326c444a33754ce19d71b39443cffac77346
F1_FALSE_POSITIVE_PROTOCOL_SDA_LOW,1,regression_results.csv,CSV:F1_FP_NORMAL_SDA_LOW,3f76326c444a33754ce19d71b39443cffac77346
F1_RELEASE_PULSE_1,1,regression_results.csv,CSV:F1_R01_RELEASE_PULSE_1,3f76326c444a33754ce19d71b39443cffac77346
F1_RELEASE_PULSE_3,1,regression_results.csv,CSV:F1_R03_RELEASE_PULSE_3,3f76326c444a33754ce19d71b39443cffac77346
F1_RELEASE_PULSE_5,1,regression_results.csv,CSV:F1_R05_RELEASE_PULSE_5,3f76326c444a33754ce19d71b39443cffac77346
F1_RELEASE_PULSE_9,1,regression_results.csv,CSV:F1_R09_RELEASE_PULSE_9,3f76326c444a33754ce19d71b39443cffac77346
F1_NEVER_RELEASE_FAILURE,1,regression_results.csv,CSV:F1_RF_NEVER_RELEASE,3f76326c444a33754ce19d71b39443cffac77346
F2_CONTROLLER_LOW_EXCLUDED,1,regression_results.csv,CSV:F2_FP_MASTER_LOW,3f76326c444a33754ce19d71b39443cffac77346
F2_SHORT_LEGAL_STRETCH,1,regression_results.csv,CSV:F2_01_SHORT_STRETCH,3f76326c444a33754ce19d71b39443cffac77346
F2_LIMIT_MINUS_1,1,regression_results.csv,CSV:F2_02_LIMIT_MINUS_1,3f76326c444a33754ce19d71b39443cffac77346
F2_EXACT_LIMIT,1,regression_results.csv,CSV:F2_03_LIMIT,3f76326c444a33754ce19d71b39443cffac77346
F2_LIMIT_PLUS_1,1,regression_results.csv,CSV:F2_04_LIMIT_PLUS_1,3f76326c444a33754ce19d71b39443cffac77346
F2_EXTENDED_HOLD,1,regression_results.csv,CSV:F2_05_EXTENDED_HOLD,3f76326c444a33754ce19d71b39443cffac77346
F2_EXTERNAL_RELEASE,1,regression_results.csv,CSV:F2_06_EXTERNAL_RELEASE,3f76326c444a33754ce19d71b39443cffac77346
FALSE_POSITIVE_COUNT_ZERO,1,regression_results.csv,CSV:FALSE_POSITIVE_SUMMARY,3f76326c444a33754ce19d71b39443cffac77346
F12_F2_EXACT_THRESHOLD,1,tb_i2c_f1_to_f2_preemption,[PASS] F12_F2_DETECT_EXACTLY_AT_LIMIT,3f76326c444a33754ce19d71b39443cffac77346
F12_RECLASSIFICATION_TO_F2,1,tb_i2c_f1_to_f2_preemption,[PASS] F12_F1_REPLACED_BY_F2,3f76326c444a33754ce19d71b39443cffac77346
F12_RETURN_TO_SERVICE,1,tb_i2c_f1_to_f2_preemption,[PASS] F12_RETURN_TO_SERVICE,3f76326c444a33754ce19d71b39443cffac77346
F12_COMPLETE_TEST_PASS,1,tb_i2c_f1_to_f2_preemption,S6.3E F1 TO F2 PREEMPTION UNIT TEST : PASS,3f76326c444a33754ce19d71b39443cffac77346
FAULT_AWARE_NORMAL_WRITE,1,tb_i2c_fault_aware_integration,[PASS] NORMAL_WRITE_NO_FAULT,3f76326c444a33754ce19d71b39443cffac77346
FAULT_AWARE_NORMAL_READ,1,tb_i2c_fault_aware_integration,[PASS] NORMAL_READ_NO_FAULT,3f76326c444a33754ce19d71b39443cffac77346
FAULT_AWARE_NORMAL_NO_ABORT,1,tb_i2c_fault_aware_integration,[PASS] NORMAL_PATH_NO_ABORTS,3f76326c444a33754ce19d71b39443cffac77346
POST_F1_TRANSACTION,1,tb_i2c_fault_aware_integration,[PASS] WRAPPER_F1_POST_RECOVERY_SERVICE_RESTORED,3f76326c444a33754ce19d71b39443cffac77346
POST_F2_TRANSACTION,1,tb_i2c_fault_aware_integration,[PASS] WRAPPER_F2_POST_COMMAND_STATUS_CLEARED,3f76326c444a33754ce19d71b39443cffac77346
POST_F12_TRANSACTION,1,tb_i2c_fault_aware_integration,[PASS] WRAPPER_F12_POST_RECOVERY_STATUS_CLEARED,3f76326c444a33754ce19d71b39443cffac77346
FAULT_AWARE_INTEGRATION_PASS,1,tb_i2c_fault_aware_integration,S6.5 FAULT-AWARE WRAPPER INTEGRATION TEST : PASS,3f76326c444a33754ce19d71b39443cffac77346
