test_id,design,result,fault_code,threshold_cycles,fault_onset_cycle,detect_cycle,detection_latency_cycles,recovery_start_cycle,recovery_complete_cycle,recovery_latency_cycles,first_sda_release_pulse,recovery_failed,post_recovery_pass,seed,git_commit,containment_response_latency_cycles,external_release_cycle,return_to_service_latency_cycles,false_positive_count,recovery_pulse_count
F1_02_LIMIT_MINUS_1,fault_aware,PASS,0,3,3,-1,-1,-1,-1,-1,0,0,-1,0,3f76326c444a33754ce19d71b39443cffac77346,-1,-1,-1,0,0
F1_03_LIMIT,fault_aware,PASS,1,3,3,5,2,-1,-1,-1,0,0,-1,0,3f76326c444a33754ce19d71b39443cffac77346,-1,-1,-1,0,0
F1_04_LIMIT_PLUS_1,fault_aware,PASS,1,3,3,5,2,-1,-1,-1,0,0,-1,0,3f76326c444a33754ce19d71b39443cffac77346,-1,-1,-1,0,0
F1_FP_NORMAL_SDA_LOW,fault_aware,PASS,0,3,-1,-1,-1,-1,-1,-1,0,0,-1,0,3f76326c444a33754ce19d71b39443cffac77346,-1,-1,-1,0,0
F1_R01_RELEASE_PULSE_1,fault_aware,PASS,1,3,3,5,2,8,183,178,1,0,-1,0,3f76326c444a33754ce19d71b39443cffac77346,-1,-1,-1,0,9
F1_R03_RELEASE_PULSE_3,fault_aware,PASS,1,3,3,5,2,8,183,178,3,0,-1,0,3f76326c444a33754ce19d71b39443cffac77346,-1,-1,-1,0,9
F1_R05_RELEASE_PULSE_5,fault_aware,PASS,1,3,3,5,2,8,183,178,5,0,-1,0,3f76326c444a33754ce19d71b39443cffac77346,-1,-1,-1,0,9
F1_R09_RELEASE_PULSE_9,fault_aware,PASS,1,3,3,5,2,8,183,178,9,0,-1,0,3f76326c444a33754ce19d71b39443cffac77346,-1,-1,-1,0,9
F1_RF_NEVER_RELEASE,fault_aware,PASS,1,3,3,5,2,8,135,130,0,1,0,0,3f76326c444a33754ce19d71b39443cffac77346,-1,-1,-1,0,9
F2_FP_MASTER_LOW,fault_aware,PASS,0,5,-1,-1,-1,-1,-1,-1,0,0,-1,0,3f76326c444a33754ce19d71b39443cffac77346,-1,-1,-1,0,0
F2_01_SHORT_STRETCH,fault_aware,PASS,0,5,3,-1,-1,-1,-1,-1,0,0,-1,0,3f76326c444a33754ce19d71b39443cffac77346,-1,-1,-1,0,0
F2_02_LIMIT_MINUS_1,fault_aware,PASS,0,5,3,-1,-1,-1,-1,-1,0,0,-1,0,3f76326c444a33754ce19d71b39443cffac77346,-1,-1,-1,0,0
F2_03_LIMIT,fault_aware,PASS,2,5,3,7,4,-1,-1,-1,0,0,-1,0,3f76326c444a33754ce19d71b39443cffac77346,1,-1,-1,0,0
F2_04_LIMIT_PLUS_1,fault_aware,PASS,2,5,3,7,4,-1,-1,-1,0,0,-1,0,3f76326c444a33754ce19d71b39443cffac77346,1,-1,-1,0,0
F2_05_EXTENDED_HOLD,fault_aware,PASS,2,5,3,7,4,10,-1,-1,0,0,-1,0,3f76326c444a33754ce19d71b39443cffac77346,1,-1,-1,0,0
F2_06_EXTERNAL_RELEASE,fault_aware,PASS,2,5,3,7,4,10,68,61,0,0,-1,0,3f76326c444a33754ce19d71b39443cffac77346,1,18,61,0,0
FALSE_POSITIVE_SUMMARY,fault_aware,PASS,0,-1,-1,-1,-1,-1,-1,-1,0,0,-1,0,3f76326c444a33754ce19d71b39443cffac77346,-1,-1,-1,0,0
